,utterance,classes,prompt,bigscience/T0pp
25,how much will i get with the exchange rate?,"['exchange rate', 'get rate']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",exchange rate get rate.?.?
26,the exchange rate would be?,"['exchange rate', ' rate']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",exchange rate rate calculator convert exchange rates calculators
27,what is the exchange rate like?,"['exchange rate', ' rate']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",rate of exchange at a given time like
28,how do your exchange rates work?,"['exchange rates', 'work rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",exchange rates work rates.aspx
29,what is the exchange rate?,"['exchange rate', ' rate']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",exchange rate rate table of currencies of the world
30,where did your guys exchange rates come from?,"['exchange rates', 'come rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",exchange rates come rates from rate of exchange.
31,how are you determining your exchange rates?,"['determining rates', 'exchange rates', 'determining rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",determining rates exchange rates.. in forex trading
32,i'm trying to figure out the current exchange rate,"['figure rate', 'exchange rate', 'current rate', 'figure rate']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",rate figure to the dollar or euro from a certain date
33,from where are you getting your exchange rates?,"['getting rates', 'exchange rates', 'getting rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",getting rates for currency conversions online or offline
34,can you tell me the foreign exchange rate?,"['tell rate', 'exchange rate', 'foreign exchange', 'tell rate']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",tell rate foreign exchange.. thank u
35,why do your exchange rates change,"['exchange rates', 'change rates']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",exchange rates are constantly changing...
36,what kind of foreign exchange rate will i get when i exchange my money?,"['exchange money', 'exchange rate', 'foreign exchange', 'exchange money']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",change money exchange rate forex market currency trading online
37,what is my foreign exchange rate?,"['exchange rate', 'foreign exchange', ' rate']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",my foreign exchange rate.txt - wikipedia
38,when does the rate get determined,['determined rate'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",determine rate or determined value: the rate at which the property is to be sold.
39,what is the current exchange rate for me?,"['exchange rate', 'current rate', ' rate']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",current rate of exchange for me? - qna
40,i need my card now!,"['need card', 'need card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",need card immediately want to get my card now
41,my card was not in the mail again can you advise?,['advise mail'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",advise me of the whereabouts of my mail
42,i need my card quick,"['need card', 'need card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",need card soonest possible way to get a card
43,how long will it take to get to me?,['get '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get a job working for me. get to me
44,i'm just wondering when my card will get here,['get card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",have my card get here on time.
45,can you get me my card fast?,"['get card', 'get card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get card fast.? idiomatic expressions
46,how long will it take to deliver something to us?,"['deliver ', 'deliver ']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",deliver something to us. how long will it take to deliver a sweater to me?.
47,i live in the us how long will it take for delivery?,['take delivery'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",take delivery of cds & dvds
48,when can i expect my card to be delivered to the us?,['delivered card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delivered card.usa.com.state.ms
49,i need my card quickly,"['need card', 'need card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",need card quickly. thank you. i will need my card for the bus.
50,does delivery to the us take long?,['take delivery'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",receive delivery of the goods from an overseas warehouse
51,how long will it take to arrive?,['arrive '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","arrive on a date specific time (for example, the weekend of their wedding)"
52,can i have my card delivered on a specific day?,"['specific day', 'delivered day']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delivered day specific day delivered time specific date delivered
53,what is the difference between standard and express delivery?,"['standard delivery', ' delivery']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",express delivery delivery. standard delivery express vs.
54,can it be delivered by a specific date?,"['specific date', 'delivered date']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",specific date delivered date...png
55,may i choose when it's delivered?,['delivered '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delivered.. when it's right for me
56,i need it delivered on a certain date,"['certain date', 'delivered date']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delivered date certain date.html?autocomplete=1
57,when should i expect my card?,"['expect card', 'expect card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","expect card soon? - oh, i should know"
58,how long does it take to get my card? can i choose when to receive it?,"['receive card', 'receive card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",receive card? can i choose when to receive it?
59,how long will it take for the card to arrive?,['arrive card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",arrive card.advancedsearch
60,how fast can you deliver?,['deliver '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",deliver to me.. fast...
61,ordered awhile back what is the eta in the us?,['ordered eta'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get my order in the usa right away
62,how long should i expect for the card to arrive?,['arrive card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",arrive card.amazon.com.
63,whats the delivery time to the united states?,"['united states', 's time']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delivery time to the united states. United states
64,when will the card arrive?,['arrive card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",arrive card..thank you so much.
65,send my card as soon as you are able to,"['send card', 'send card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",send card as soon as able to.
66,when are cards delivered?,['delivered cards'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delivered cards. nsw police force
67,how long does shipping take to get to a us destination?,"['us destination', 'get destination']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",destination us destination get destination time zone to get back to
68,can i get my card expedited?,['expedited card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",expedited card. (noun) a process of hastily preparing something or someone for use or consumption
69,how long until my card is delivered?,['delivered card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delivered card.? i want it to be delivered.
70,i need my card to come as soon as possible,"['as possible', 'come card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",come card as possible... thanks
71,when can i expect to receive my new card?,"['receive card', 'new card', 'receive card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",receive card new card.. i expect
72,i am waiting for my card to arrive,['arrive card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",arrive card. [title] Read the card carefully.
73,i need my card as soon as possible,"['need card', 'need card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",need card soon as possible.... thanks
74,i need it delivered by saturday,['delivered '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",it must be delivered by saturday
75,what's the us delivery time?,"['delivery time', ' time']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",delivery time of usa order online now!
76,when will my card arrive?,['arrive card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",arrive card. | arrive at destination. <unk>
77,can i choose a date for delivery?,"['choose date', 'choose delivery']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",choose delivery date..thank you. mrs
78,can i make sure my card is delivered on a specific day?,"['specific day', 'delivered day']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",specific day delivered day.? - answers
79,can i have it be delivered at a certain time?,"['certain time', 'delivered time']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",certain time delivered time.txt?
80,i've tried my card a bunch of times and it never worked,"['tried card', 'worked times']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",tried card worked times. nope no it never
81,i can't get my card to work,"['get card', 'work card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",work card get card.? - help
82,my card appears to be broken how can i fix it?,"['fix ', 'fix card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",fix card.. i will try it out
83,how do i know why my card isn't working?,['working card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",working card? i need working credit card?
84,my card broke,['broke card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",broke card.com.au.dk
85,my card won't work,['work card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",no use card work card no good card wotk
86,why is my card not working?,['working card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",working card..|card not working.
87,can you please identify the problem with my bank card?,"['identify problem', 'bank card', 'identify card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",identify problem with bank card.. thanks.
88,how do i unblock my card using the app?,"['using app', 'using app']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","using app. The best fitting intent is using,"
89,my card does not work,['work card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",do not work in car or card reader or computer
90,how can i get my physical card to work?,"['physical card', 'work card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","work card physical card.jpg. (2014, September 5)"
91,can someone assist me by explaining why my card is not working?,"['assist ', 'working card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",working card assist. thanks :*
92,help me  my card doesn't work,"['help ', 'work card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",work card help? <unk> :
93,can a card stop working?,['working card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",working card..amazon.co.uk
94,i think my card is broken,['think card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",think card is broken. i think my card broke.
95,why isn't my card working?,['working card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",working card.... why isn't my card working.
96,my card isn't working anymore,['working card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",working card.jpg?s = = working_card
97,my card was declined today when eating and i need to know what's wrong,['know today'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",know what's wrong with my card today
98,my card doesn't work,['work card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",work card.com.ng?utm_source=&u=1
99,how can i resolve a problem where my card won't go through at all?,"['resolve problem', 'go card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",go card solve problem..simple
100,my actual card isn't working,"['actual card', 'working card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",actual card not working card working with my actual car
101,is my card broken?,[' card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",broken card or a card that works?
102,i broke my card,"['broke card', 'broke card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",broke card..separate the card to keep
103,my card stopped working,['working card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",card stopped working. björk
104,my card is broke what do i do?,['do card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",do card to fix it. idk if this is right
105,i tried using my card today and it's not working can you help me?,"['help card', 'help today']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",help card help today.. thanks!
106,my card stopped working when i use it,"['use ', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card in us store. use credit card
107,i can't use my card,"['use card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card.i can't use my card
108,need help with my card it's not working,"['need help', 'working card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",need help working card.jpg???? - wikipedia
109,i cannot use my card,"['use card', 'use card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card. i cannot use my card
110,the card i've got seems to be broken,['seems card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",seems card broken.. and that it is
111,my card isn't working,['working card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",working card.com/cards/new/
112,my card suddenly quit working,['working card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",working card.?... suddenly stopped working.
113,i have tried to use my card several times and it does not work,"['use card', 'several times', 'work times']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",use card several times work times card not work
114,the card i have doesn't work,['work card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",work card.png (slideshow)
115,my card doesn't accept any transaction at all what's wrong??,"['accept transaction', 'accept transaction']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",accept transaction at all my card doesn't accept anymore
116,how can i check if my card is working?,['working card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",working card. How can i check if my card is working?
117,nothing goes through on my card,['goes card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",goes card through ssneer
118,how do i find out why my card won't work?,['work card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",find out why my card won't work
119,could it be that i deactivated my card its not working?,"['deactivated card', 'working card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",working card deactivated card? *?
120,my entire gym bag including my wallet was stolen out of my locker today everything in my wallet is gone - how do i block the card to make it can't be used?,"['block card', 'gym bag', 'entire bag', 'used card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",entire bag used card gym bag block card.
121,i can't find my card and think it may have been stolen,"['find card', 'stolen card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",find card stole card.html?referer
122,someone stole my card i need to report it stolen i made a police report already but how do i report it with you?,"['report report', 'police report', 'report report']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get a report from others involved. i was robbed
123,i cant find my card it's gone,"['find card', 'gone card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",gone card find card..jpg? i cant find my card it's gone
124,my card is lost! what can i do?,['do card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",do card for shopping to the store at once.
125,i lost my card,"['lost card', 'lost card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",lost card.jpg - bgcolour
126,oh no!  i lost my card!  help!,"['lost card', 'lost help']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",lost help?.. uh no! i lost my card!
127,i believe my card has been stolen what can i do about this situation? it's urgent,['do situation'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",do situation urgent. i believe my card has been stolen what can ifi do about this?
128,help! someone stole my card!,"['stole card', 'stole card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",stole card. (2016 movie) - wikipedia
129,help  i have a stolen card!,"['have card', 'stolen card', 'stolen card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",help me with a stolen card!.
130,card is lost please help,['help card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",help card.html | help my card | lose my debit card
131,how do i report my card stolen?,['stolen card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",report stolen card to police department..or fbi
132,my card is gone i think it was stolen,['stolen card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",stolen card.pdf. docx.
133,is a copy of the police report necessary for completing the report process?,"['completing process', 'report process', 'completing process']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",completing the process of reporting the incident to police
134,i lost my wallet today with all my credit cards will you please block the card and send a replacement?,"['send replacement', 'credit cards', 'send replacement']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",send replacement. credit cards. block card.
135,how do i deal with a stolen card?,"['stolen card', 'stolen card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",steal card. fsbo sa
136,can you freeze my card it was stolen,"['freeze card', 'stolen card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",steal card freeze card..........................................
137,help!  i can't find my card,"['find card', 'find card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",find card.png find your card with the interactive map
138,what should i do if i lost my card?,"['lost card', 'lost card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",lost card.. i should get a new
139,i need help with a lost card,"['need help', 'lost card', 'lost card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",lost card need help.html. html
140,i think my card was stolen,['stolen card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",stolen card. i think my card was stolen
141,someone stole my wallet earlier today not sure exactly when probably on piccadilly circus can you check if there were any attempts to use the card and obviously block it?,"['block card', 'piccadilly circus', 'block card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",block card piccadilly circus check card
142,i think i lost my card  i dont know how long it has been missing can you see if maybe someone else has been using it?,"['using card', 'using card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",using card.so someone else could have been using my credit card since it wasnt here
143,how can i freeze a stolen card?,"['freeze card', 'stolen card', 'stolen card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",freeze card stolen card immediately report theft to the credit union immediately
144,what should i do if my card is missing?,['missing card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",missing card?..i need an application form
145,my bags were stolen i need a new card but need to cancel the stolen one,"['cancel one', 'stolen one', 'stolen one']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",cancel a stolen one new card needed immediately
146,somehow i am missing my card  what should i do?,"['missing card', 'do card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",somehow i am missing my card what should ireturn it
147,my card was taken from me,['taken card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",taken card from me. the worst thing about going
148,my card got lost,['lost card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",lost card.jpg lost credit card - report.
149,some idiot stole my card,"['stole card', 'stole card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",stole card.. :/ xd
150,how do i report my card lost or stolen?,['stolen card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",stolen card.. how do i report my card
151,my card is lost! what do i do now?,['do card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get a new one immediately. replace it.
152,i'm in spain and my stuff has been stolen my card was with it and i need a new one shipped and the old one frozen,"['old one', 'frozen one']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",frozen one old one shipped..thanks
153,i believe my credit card was stolen,"['credit card', 'stolen card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",stolen card fraud in shopping malls credit card
154,how do i report a stolen card?,"['report card', 'stolen card', 'stolen card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",report stolen card. How do i report a stolen credit card?
155,somebody has stolen my card i need help please,"['need help', 'need help']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",need help please. i need my card
156,i cannot find my credit card,"['find card', 'credit card', 'find card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",find card credit card.jpg?asp
157,are you able to locate my card?,"['locate card', 'locate card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",locate card.jpg?location card?jpg
158,my card got stolen!,['stolen card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","stolen card, take it back, credit card"
159,help me please!  my card was stolen!,"['help ', 'stolen card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","criminal intent. stolen card help, steal card, theft"
160,how old do i need to be to get an account for myself,"['get account', 'get account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get account in age old peoples' club
161,how young can i be to open my own account?,"['open account', 'own account', 'open account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",open account young can i be to open my own account
162,how old do i have to be?,['have '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",have my picture taken at age 13 as proof of age
163,can i open an account for a child?,"['open account', 'open child']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",open account for child opened account in bank for girl
164,how old do we have to be?,['have '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","be able to understand the question, but not to answer it"
165,how do i go about setting up an account for my daughter?,"['setting account', 'setting daughter']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",daughter setting account.png....
166,is there an age minimum?,"['age minimum', ' minimum']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",age minimum minimum age of a voter in the state
167,what is the youngest age in order to have an account?,"[' account', 'youngest age', ' account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",account youngest age..tutorial
168,what age do i have to be?,['have age'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",have age in urdu language <unk>
169,can my daughter open an account?,"['open account', 'open account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",open account to daughter. open an account for mother
170,what is the minimum age to open an account?,"['open account', 'minimum age', 'open account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",open an account at bank minimum age to open a bank account
171,what is the minimum age?,"['minimum age', ' age']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",minimum age age.jpg?????????
172,i am only 17 can i make an account?,"['make account', 'make account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",make account at gmail.com <unk>
173,could i open an account for my children?,"['open account', 'open children']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",open account for children open childrens account.
174,what is the age to open an account?,"['open account', 'open account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",open account. (band) (2007).
175,how do i open up an account for my child?,"['open account', 'open child']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",open account for child. i need help
176,can i open a bank account for my newborn baby?,"['open account', 'bank account', 'newborn baby', 'open baby']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",open baby bank account newborn baby open account.
177,how old do i have to be to open an account?,"['open account', 'open account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",open account? open an account if v
178,do you offer services for children to have money saving experience?,"['have experience', 'saving experience', 'have experience']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",have experience saving experience.. do you offer services for children to have money saving
179,if my kids wanted to use your service how old would they have to be?,"['use service', 'have service']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",have service use service? i'll go ahead
180,can my 19 year old daughter open a savings account at the bank?,"['open account', 'savings account', 'old daughter', 'open bank']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",he wants his daughter to open an account
181,how old do you have to be to get an account?,"['get account', 'get account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",get account? go to the bank and get an account
182,what's the minimum age for opening an account?,"['opening account', 'minimum age', 'opening account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",minimum age opening account.html.#x20px
183,i would like an account for my children how do i go about doing this?,"['doing account', 'doing children']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",do children account doing so this way..
184,can my children have their own account?,"['have account', 'own account', 'have account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",yes yes i want my kids to have their own account
185,is it possible to open an account for my children?,"['open account', 'open children']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",bank account for children open account online for kids
186,do my kids have to be a certain age to use this service?,"['use service', 'certain age', 'use service']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",certain age use service..thanks a lot
187,how old do you have to be to be able to open an account?,"['open account', 'open account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",open account.gov.co.in/age
188,is there an age limit?,"['age limit', ' limit']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",limit age limit?...a
