,utterance,classes,snli
62,how long should i expect for the card to arrive?,['arrive card'],arrive card
63,whats the delivery time to the united states?,"['united states', 's time']",united states
64,when will the card arrive?,['arrive card'],arrive card
65,send my card as soon as you are able to,"['send card', 'send card']",Unknown
66,when are cards delivered?,['delivered cards'],delivered cards
67,how long does shipping take to get to a us destination?,"['us destination', 'get destination']",us destination
68,can i get my card expedited?,['expedited card'],expedited card
69,how long until my card is delivered?,['delivered card'],Unknown
70,i need my card to come as soon as possible,"['as possible', 'come card']",come card
71,when can i expect to receive my new card?,"['receive card', 'new card', 'receive card']",Unknown
72,i am waiting for my card to arrive,['arrive card'],arrive card
73,i need my card as soon as possible,"['need card', 'need card']",need card
74,i need it delivered by saturday,['delivered '],Unknown
75,what's the us delivery time?,"['delivery time', ' time']",delivery time
76,when will my card arrive?,['arrive card'],arrive card
77,can i choose a date for delivery?,"['choose date', 'choose delivery']",choose date
78,can i make sure my card is delivered on a specific day?,"['specific day', 'delivered day']",specific day
79,can i have it be delivered at a certain time?,"['certain time', 'delivered time']",certain time
80,i've tried my card a bunch of times and it never worked,"['tried card', 'worked times']",tried card
81,i can't get my card to work,"['get card', 'work card']",get card
82,my card appears to be broken how can i fix it?,"['fix ', 'fix card']",fix card
83,how do i know why my card isn't working?,['working card'],Unknown
84,my card broke,['broke card'],broke card
85,my card won't work,['work card'],Unknown
86,why is my card not working?,['working card'],Unknown
87,can you please identify the problem with my bank card?,"['identify problem', 'bank card', 'identify card']",Unknown
88,how do i unblock my card using the app?,"['using app', 'using app']",Unknown
89,my card does not work,['work card'],Unknown
90,how can i get my physical card to work?,"['physical card', 'work card']",physical card
91,can someone assist me by explaining why my card is not working?,"['assist ', 'working card']",assist 
92,help me  my card doesn't work,"['help ', 'work card']",help 
93,can a card stop working?,['working card'],Unknown
94,i think my card is broken,['think card'],think card
95,why isn't my card working?,['working card'],Unknown
96,my card isn't working anymore,['working card'],Unknown
97,my card was declined today when eating and i need to know what's wrong,['know today'],Unknown
98,my card doesn't work,['work card'],Unknown
99,how can i resolve a problem where my card won't go through at all?,"['resolve problem', 'go card']",resolve problem
100,my actual card isn't working,"['actual card', 'working card']",actual card
101,is my card broken?,[' card'], card
102,i broke my card,"['broke card', 'broke card']",Unknown
103,my card stopped working,['working card'],Unknown
104,my card is broke what do i do?,['do card'],do card
105,i tried using my card today and it's not working can you help me?,"['help card', 'help today']",help today
106,my card stopped working when i use it,"['use ', 'use card']",use card
107,i can't use my card,"['use card', 'use card']",use card
108,need help with my card it's not working,"['need help', 'working card']",need help
109,i cannot use my card,"['use card', 'use card']",Unknown
110,the card i've got seems to be broken,['seems card'],seems card
111,my card isn't working,['working card'],Unknown
112,my card suddenly quit working,['working card'],Unknown
113,i have tried to use my card several times and it does not work,"['use card', 'several times', 'work times']",several times
114,the card i have doesn't work,['work card'],Unknown
115,my card doesn't accept any transaction at all what's wrong??,"['accept transaction', 'accept transaction']",Unknown
116,how can i check if my card is working?,['working card'],Unknown
117,nothing goes through on my card,['goes card'],goes card
118,how do i find out why my card won't work?,['work card'],work card
119,could it be that i deactivated my card its not working?,"['deactivated card', 'working card']",deactivated card
120,my entire gym bag including my wallet was stolen out of my locker today everything in my wallet is gone - how do i block the card to make it can't be used?,"['block card', 'gym bag', 'entire bag', 'used card']",Unknown
121,i can't find my card and think it may have been stolen,"['find card', 'stolen card']",stolen card
122,someone stole my card i need to report it stolen i made a police report already but how do i report it with you?,"['report report', 'police report', 'report report']",Unknown
123,i cant find my card it's gone,"['find card', 'gone card']",gone card
124,my card is lost! what can i do?,['do card'],Unknown
125,i lost my card,"['lost card', 'lost card']",Unknown
126,oh no!  i lost my card!  help!,"['lost card', 'lost help']",lost card
127,i believe my card has been stolen what can i do about this situation? it's urgent,['do situation'],do situation
128,help! someone stole my card!,"['stole card', 'stole card']",stole card
129,help  i have a stolen card!,"['have card', 'stolen card', 'stolen card']",Unknown
130,card is lost please help,['help card'],help card
131,how do i report my card stolen?,['stolen card'],stolen card
132,my card is gone i think it was stolen,['stolen card'],stolen card
133,is a copy of the police report necessary for completing the report process?,"['completing process', 'report process', 'completing process']",Unknown
134,i lost my wallet today with all my credit cards will you please block the card and send a replacement?,"['send replacement', 'credit cards', 'send replacement']",credit cards
135,how do i deal with a stolen card?,"['stolen card', 'stolen card']",stolen card
136,can you freeze my card it was stolen,"['freeze card', 'stolen card']",stolen card
137,help!  i can't find my card,"['find card', 'find card']",find card
138,what should i do if i lost my card?,"['lost card', 'lost card']",Unknown
139,i need help with a lost card,"['need help', 'lost card', 'lost card']",Unknown
140,i think my card was stolen,['stolen card'],stolen card
141,someone stole my wallet earlier today not sure exactly when probably on piccadilly circus can you check if there were any attempts to use the card and obviously block it?,"['block card', 'piccadilly circus', 'block card']",Unknown
142,i think i lost my card  i dont know how long it has been missing can you see if maybe someone else has been using it?,"['using card', 'using card']",using card
143,how can i freeze a stolen card?,"['freeze card', 'stolen card', 'stolen card']",Unknown
144,what should i do if my card is missing?,['missing card'],missing card
145,my bags were stolen i need a new card but need to cancel the stolen one,"['cancel one', 'stolen one', 'stolen one']",Unknown
146,somehow i am missing my card  what should i do?,"['missing card', 'do card']",missing card
147,my card was taken from me,['taken card'],taken card
148,my card got lost,['lost card'],lost card
149,some idiot stole my card,"['stole card', 'stole card']",stole card
150,how do i report my card lost or stolen?,['stolen card'],stolen card
151,my card is lost! what do i do now?,['do card'],do card
152,i'm in spain and my stuff has been stolen my card was with it and i need a new one shipped and the old one frozen,"['old one', 'frozen one']",frozen one
153,i believe my credit card was stolen,"['credit card', 'stolen card']",credit card
154,how do i report a stolen card?,"['report card', 'stolen card', 'stolen card']",Unknown
155,somebody has stolen my card i need help please,"['need help', 'need help']",Unknown
156,i cannot find my credit card,"['find card', 'credit card', 'find card']",Unknown
157,are you able to locate my card?,"['locate card', 'locate card']",Unknown
158,my card got stolen!,['stolen card'],stolen card
159,help me please!  my card was stolen!,"['help ', 'stolen card']",stolen card
160,how old do i need to be to get an account for myself,"['get account', 'get account']",Unknown
161,how young can i be to open my own account?,"['open account', 'own account', 'open account']",Unknown
162,how old do i have to be?,['have '],Unknown
163,can i open an account for a child?,"['open account', 'open child']",open child
164,how old do we have to be?,['have '],Unknown
165,how do i go about setting up an account for my daughter?,"['setting account', 'setting daughter']",setting account
166,is there an age minimum?,"['age minimum', ' minimum']", minimum
167,what is the youngest age in order to have an account?,"[' account', 'youngest age', ' account']",Unknown
168,what age do i have to be?,['have age'],have age
169,can my daughter open an account?,"['open account', 'open account']",open account
170,what is the minimum age to open an account?,"['open account', 'minimum age', 'open account']",Unknown
171,what is the minimum age?,"['minimum age', ' age']", age
172,i am only 17 can i make an account?,"['make account', 'make account']",Unknown
173,could i open an account for my children?,"['open account', 'open children']",open children
174,what is the age to open an account?,"['open account', 'open account']",open account
175,how do i open up an account for my child?,"['open account', 'open child']",open child
176,can i open a bank account for my newborn baby?,"['open account', 'bank account', 'newborn baby', 'open baby']",newborn baby
177,how old do i have to be to open an account?,"['open account', 'open account']",open account
178,do you offer services for children to have money saving experience?,"['have experience', 'saving experience', 'have experience']",Unknown
179,if my kids wanted to use your service how old would they have to be?,"['use service', 'have service']",use service
180,can my 19 year old daughter open a savings account at the bank?,"['open account', 'savings account', 'old daughter', 'open bank']",old daughter
181,how old do you have to be to get an account?,"['get account', 'get account']",get account
182,what's the minimum age for opening an account?,"['opening account', 'minimum age', 'opening account']",Unknown
183,i would like an account for my children how do i go about doing this?,"['doing account', 'doing children']",doing children
184,can my children have their own account?,"['have account', 'own account', 'have account']",Unknown
185,is it possible to open an account for my children?,"['open account', 'open children']",open children
186,do my kids have to be a certain age to use this service?,"['use service', 'certain age', 'use service']",Unknown
187,how old do you have to be to be able to open an account?,"['open account', 'open account']",open account
188,is there an age limit?,"['age limit', ' limit']", limit
189,what are the age requirements for opening an account?,"['opening account', 'age requirements', 'opening account']",age requirements
190,will i be able to open an account for my daughter,"['open account', 'open daughter']",open daughter
191,how old do i need to be to open an account?,"['open account', 'open account']",open account
192,what age can sign up for services?,['sign services'],sign services
193,how old do my kids have to be to use your service?,"['use service', 'use service']",use service
194,what age do my kids need to be to use your service?,"['use service', 'use service']",use service
195,how old do my children need to be to open an account?,"['open account', 'open account']",Unknown
196,how old does my kids need to be to open an account?,"['open account', 'old need', 'open account']",Unknown
197,how young can someone be in order to open an account?,"['open account', 'open account']",open account
198,what is the youngest someone can be to open an account?,"['open account', 'open account']",open account
199,how old does one have to be to have an account with the bank?,"['have account', 'have bank']",have account
200,how do i get my pin unlocked?,['unlocked pin'],unlocked pin
201,where can i view my pin?,"['view pin', 'view pin']",Unknown
202,will you reinstate my pin?,"['reinstate pin', 'reinstate pin']",reinstate pin
203,i accidentally blocked my pin how do i reset it?,"['reset pin', 'reset pin']",reset pin
204,how do i unblock my pin after entering it wrong too many times?,"['entering pin', 'many times', 'entering times']",entering pin
205,i used the wrong ping too many times and now the account is blocked  how do i unblock?,"['used ping', 'many times', 'unblock account']",unblock account
206,i need help because i drunken blocked my card?,"['blocked card', 'blocked card']",Unknown
207,how do i reset my pin i can't seem to use my card?,"['use card', 'use card']",use card
208,when i put the wrong pin too much i got blocked so can you help me unblock my pin,"['unblock pin', 'wrong pin', 'unblock pin']",Unknown
209,my pin was blocked how do i make it so i can use it?,"['use ', 'use pin']",use pin
210,how many tries do i have to enter my pin before i'm blocked?,"['enter pin', 'many tries', 'blocked pin']",Unknown
211,what should i do if i've tried to enter my pin too often?,"['enter pin', 'enter pin']",enter pin
212,i have exceeded the number of times i can try my pin,"['try pin', 'try pin']",try pin
213,how can i unblock a blocked pin number for my account?,"['unblock number', 'pin number', 'blocked number', 'blocked account']",Unknown
214,what do i do if the bank machine won't accept my pin attempts anymore?,"['accept attempts', 'pin attempts', 'accept attempts']",pin attempts
215,can you unlock my pin? i think i entered the wrong pin too many times,"['entered pin', 'many times', 'entered times']",entered times
216,how do i deal with a blocked pin?,"['blocked pin', 'blocked pin']",blocked pin
217,i attempted to use my card while i was intoxicated and i failed to input my pin and the machine kept my card how soon can i have it back?,"['have card', 'have card']",have card
218,can i unblock my card using the app?,"['using app', 'using app']",Unknown
219,i'v exhausted all the of times i can try my pin,"['try pin', 'try pin']",try pin
220,how can i unlock my pin from too many tries?,"['unlock pin', 'many tries', 'unlock tries']",many tries
221,help! i forgot my pin and have been locked out of using my card,"['using card', 'using card']",using card
222,my account is blocked how do i log in now,['log account'],log account
223,why did i get blocked?,['blocked '],blocked 
224,are you able to unblock my pin?,"['unblock pin', 'unblock pin']",Unknown
225,can you assist me with unblocking my pin? i put it in wrong too many times,"['put pin', 'many times', 'put times']",put times
226,i entered the wrong pin too many times and now i am blocked  help me unblock!,"['entered pin', 'many times', 'unblock times']",Unknown
227,my pins seems to be blocked can you unblock it please,"['unblock ', 'unblock pins']",unblock pins
228,can you unblock my pin after too many wrong pin attempts?,"['unblock pin', 'pin attempts', 'wrong attempts', 'unblock attempts']",Unknown
229,what can you do to unblock my pin?,"['unblock pin', 'unblock pin']",unblock pin
230,my pin is blocked what do i do?,['do pin'],do pin
231,can i reactivate my pin?,"['reactivate pin', 'reactivate pin']",reactivate pin
232,how do i reset my pin?,"['reset pin', 'reset pin']",reset pin
233,can i unblock my pin?,"['unblock pin', 'unblock pin']",Unknown
234,how do i unblock my pin?,"['unblock pin', 'unblock pin']",unblock pin
235,my card's frozen what can i do?,['do card'],do card
236,how can i unlock the pin?,"['unlock pin', 'unlock pin']",Unknown
237,since my pin is blocked would you help me unblock it?,"['unblock ', 'unblock pin']",unblock pin
238,my pin is not working and i need assistance,"['need assistance', 'need assistance']",Unknown
239,where can i get my pin unblocked?,['unblocked pin'],Unknown
240,are contactless payments enabled on my new card?,"['new card', 'enabled card']",new card
241,my contanctless has stopped working,['working contanctless'],Unknown
242,what is required documents for new card process ?,"['card process', 'new process', 'required process']",card process
243,i don't know what's wrong my contactless stopped working tried it in a few different places today and it didn't work in any of them,"['tried ', 'different places', 'work today']",different places
244,how do i get the contactless feature to work for my card?,"['contactless feature', 'work card']",contactless feature
245,i tried to pay contactless at the bus today and it didn't work any ideas why?,"['work ideas', 'work ideas']",work ideas
246,i've been unable to pay contactless with my card for over a week now is there a way to fix this issue?,"['fix issue', 'fix issue']",Unknown
247,do you know why my contactless won't work?,['work '],Unknown
248,my contactless payments have not been completed successfully,"['contactless payments', 'completed payments']",contactless payments
249,do i need to replace my card if it didn't work when i tried to pay contactless at the shop today?,"['pay card', 'pay today']",pay card
250,for some reason my contactless has stopped working i don't know what the problem is what can i do?,['do problem'],do problem
251,i couldn't use my contactless this morning it wasn't accepted,"['use ', 'accepted morning']",use 
252,contactless isn't working for me,['working '],Unknown
253,why wouldn't the contactless payment work when i tried to pay at the bus today?,"['contactless payment', 'pay today']",contactless payment
254,how do i check my security settings to allow contactless pay?,"['allow pay', 'security settings', 'contactless pay', 'allow pay']",Unknown
255,what can i do if contactless doesn't work?,['work '],Unknown
256,fix my contactless,"['fix ', 'fix ']",fix 
257,how can i make my contactless work for the metro?,"['make work', 'contactless work', 'make metro']",Unknown
258,my contactless is not working,['working contactless'],Unknown
259,can you help my fix my contactless?,"['fix ', 'fix ']",fix 
260,for some reason my contactless won't work for me,['work contactless'],Unknown
261,i'm unable to use contactless payments for purchases,"['use payments', 'contactless payments', 'use purchases']",Unknown
262,when i tried to pay for my bus ride the contactless payment wouldn't work how can i prevent this in the future?,"['prevent ', 'bus ride', 'contactless payment', 'prevent future']",Unknown
263,the nfc payment wouldn't work on the bus today help?,"['nfc payment', 'help today']",nfc payment
264,i wanted to use my card contactless but it doesn't seem to be working what could be the problem?,"['use card', 'working problem']",use card
265,how do i make contactless work,"['make work', 'contactless work', 'make work']",Unknown
266,what is the charges for new card?,"['new card', ' card']",new card
267,the contactless i have won't work,['work '],Unknown
268,why isn't my contactless not working?,['working '],Unknown
269,i wanted to use my contactless at the metro today but it didn't accept it!,"['accept ', 'accept today']",accept 
270,it didnt work when i tried to pay contactless at the bus today why?,"['pay ', 'pay today']",pay today
271,i am not able to do contactless,['do '],Unknown
272,how do i use contactless payments?,"['use payments', 'contactless payments', 'use payments']",Unknown
273,help me with my contactless which isn't working,"['help ', 'working ']",help 
274,how can i fix a problem where contactless isn't working?,"['fix problem', 'working problem']",fix problem
275,how do i use contactless pay?,"['use pay', 'contactless pay', 'use pay']",Unknown
276,how do i enable contactless pay?,"['enable pay', 'contactless pay', 'enable pay']",Unknown
277,do i need to make a regular payment before a contactless one?,"['make payment', 'contactless one', 'make one']",make payment
278,how can i find out where my contactless works?,['works '],Unknown
279,should i reinstall the payment app?,"['reinstall app', 'payment app', 'reinstall app']",Unknown
280,how much do you charge to accept transfers,"['accept transfers', 'accept transfers']",Unknown
281,i would like to make a transfer how much does it cost?,"['make transfer', 'cost transfer']",make transfer
282,i need to make a transfer what will the fee be?,"['make transfer', 'make fee']",make transfer
283,if i make a top-up are there charges applied?,"['make topup', 'applied charges']",make topup
284,can i also transfer with swift?,['transfer '],transfer 
285,are swift transfers accepted?,"['swift transfers', 'accepted transfers']",swift transfers
286,i would like to refill my account using swift,"['using account', 'using account']",Unknown
287,do i have to pay for topping up by transfer?,['topping transfer'],topping transfer
288,are there any sort of fees involved for top of transfers?,['involved transfers'],involved transfers
289,is it possible to get a transfer from swift?,"['get transfer', 'get transfer']",Unknown
290,do i have to pay any fees in order to receive money?,"['receive money', 'receive money']",receive money
291,how much am i charged to receive money?,"['receive money', 'receive money']",receive money
292,will you deal with swift transfers?,"['swift transfers', 'deal transfers']",swift transfers
293,will there be any charges for money received?,['received money'],received money
294,will a transfer incur a fee?,"['incur fee', 'incur fee']",incur fee
295,are there charges for receiving a sepa transfer?,"['receiving transfer', 'sepa transfer', 'receiving transfer']",Unknown
296,if i transfer money from my bank to top-up my account will i be charged?,"['topup account', 'charged account']",topup account
297,will i be charged if someone needs to send me money?,"['send money', 'send money']",send money
298,what are the fees for top-ups?,[' topups'], topups
299,will topping up by transfer lead to a charge on my account?,['lead account'],lead account
300,what are the charges for receiving money?,"['receiving money', 'receiving money']",Unknown
301,what is the fee to receive money?,"['receive money', 'receive money']",Unknown
302,how much am i charged for a sepa transfer?,"['sepa transfer', 'charged transfer']",sepa transfer
303,how much is the fee for a sepa transfer?,"['sepa transfer', ' transfer']", transfer
304,what'll it charge me for a sepa transfer?,"['charge ', 'sepa transfer', 'charge transfer']",sepa transfer
305,is there a charge for topping up by transfer?,['topping transfer'],topping transfer
306,do you do swift transfers?,"['do transfers', 'swift transfers', 'do transfers']",Unknown
307,should i expect to be charged for topping up by transfer?,['topping transfer'],topping transfer
308,will i be charged for a sepa transfer?,"['sepa transfer', 'charged transfer']",sepa transfer
309,is there a fee for a transfer? if so how much will it be?,[' transfer'], transfer
310,please tell me about swift transfers at this bank,"['tell ', 'swift transfers', 'tell bank']",Unknown
311,is there a fee for transfer top-up?,"['transfer topup', ' topup']",transfer topup
312,can you tell me what the transfer policy is?,"['tell ', 'transfer policy', 'tell policy']",Unknown
313,is a swift transfer okay?,"['swift transfer', ' transfer']", transfer
314,will i be charged a fee if i receive a sepa transfer,"['receive transfer', 'sepa transfer', 'receive transfer']",sepa transfer
315,when topping up by transfer will i be charged?,['charged transfer'],charged transfer
316,what us the fee to transfer money from my bank?,"['transfer money', 'transfer bank']",transfer money
317,do i get charged if i am getting money?,"['getting money', 'getting money']",getting money
318,can you tell me the total cost of a transfer?,"['tell cost', 'total cost', 'tell transfer']",Unknown
319,please help me!  i need to cancel a transaction,"['cancel transaction', 'cancel transaction']",Unknown
320,can you limit my top up?,"['limit top', 'limit top']",Unknown
321,am i free to top-up as much as i want?,['want '],want 
322,is there a top up limit for my account?,"['top limit', 'top account']",top account
323,what is the limit to top up?,['top limit'],Unknown
324,how much money can i top up?,"['much money', 'top money']",top money
325,what are the restrictions to top-offs?,[' topoffs'], topoffs
326,are the top-ups limited?,[' topups'], topups
327,what is the top up limit,"['top limit', 'top limit']",top limit
328,i need to find out what is the limit for top-ups,['find topups'],find topups
329,do you have a limit to top ups?,"['have limit', 'top ups', 'have ups']",Unknown
330,what is maximum top up?,"['maximum top', ' top']", top
331,how can i tell what the limit is to top-ups?,['tell topups'],tell topups
332,is there a limit to top-up amounts?,"['topup amounts', ' amounts']",topup amounts
333,is there any limit to the amount i can add to a card at a time?,['add time'],add time
334,i want to know if there is a maximum i can top up,['top maximum'],Unknown
335,what is the limit to a top-up?,[' topup'], topup
336,tell me if there are any top-up limits?,"['tell ', 'topup limits', 'are limits']",topup limits
337,how can i top-up my limit?,"['topup limit', 'topup limit']",Unknown
338,is there a limit to top-ups?,[' topups'], topups
339,can i top-up as much as i want?,['want '],want 
340,can you tell me the limits for top ups?,"['tell limits', 'top ups', 'tell ups']",top ups
341,when i top up what are the amoutn limits,"['amoutn limits', 'top limits']",amoutn limits
342,is there a limit on top-ups?,[' topups'], topups
343,what is the top-ups limit?,"['topups limit', ' limit']", limit
344,are there limits to top-ups?,[' topups'], topups
345,is there a maximum amount of top-ups?,"['maximum amount', ' topups']", topups
346,do you have a top-up limit?,"['have limit', 'topup limit', 'have limit']",Unknown
347,what's the top up limit?,"['top limit', 'top limit']",Unknown
348,what is the limit to top-up?,[' topup'], topup
349,how much can i top-up to my card at a time?,['topup time'],topup time
350,how much can i top up?,['top '],Unknown
351,what is the most i can top up?,['top '],Unknown
352,is there a limit to how high i can top-up?,['topup limit'],topup limit
353,is there an amount limit to my top-up?,"['amount limit', ' topup']", topup
354,is there a limit for top-ups?,[' topups'], topups
355,is there a maximum i can top up?,['top maximum'],Unknown
356,how can i tell if there is a top-up limit?,"['topup limit', 'topup limit']",Unknown
357,do you have any restrictions to my top-up?,"['have restrictions', 'have topup']",have topup
358,as for limits are top ups included?,"['top ups', 'included ups']",top ups
359,which cards and currencies do you support?,['support currencies'],support currencies
360,where can i obtain my virtual card?,"['obtain card', 'virtual card', 'obtain card']",virtual card
361,how do you get a virtual card?,"['get card', 'virtual card', 'get card']",Unknown
362,where can i find a virtual card?,"['find card', 'virtual card', 'find card']",Unknown
363,is there an option to have a virtual card?,"[' card', 'virtual card', ' card']",Unknown
364,if i don't want a physical card can i get a virtual version?,"['get version', 'virtual version', 'get version']",Unknown
365,i requested a virtual card but it is not showing up why?,"['requested card', 'virtual card', 'showing card']",requested card
366,can you tell me how to order a virtual card?,"['order card', 'virtual card', 'order card']",virtual card
367,where is the virtual card?,"['virtual card', ' card']",virtual card
368,what is the virtual card,"['virtual card', ' card']",virtual card
369,how do i get a virtual card?,"['get card', 'virtual card', 'get card']",Unknown
370,where do i order a virtual card from?,"['order card', 'virtual card', 'order card']",virtual card
371,why did i not get a virtual card yet?,"['get card', 'virtual card', 'get card']",Unknown
372,how can i order virtual cards?,"['order cards', 'virtual cards', 'order cards']",Unknown
373,can you tell me where i can order a virtual card?,"['order card', 'virtual card', 'order card']",virtual card
374,is it possible for me to get a virtual card?,"['get card', 'virtual card', 'get card']",Unknown
375,is this where i order a virtual card?,"['order card', 'virtual card', 'order card']",Unknown
376,what are the steps to getting a virtual card?,"['getting card', 'virtual card', 'getting card']",Unknown
377,help me obtain a virtual card,"['obtain card', 'virtual card', 'obtain card']",Unknown
378,where is the virtual card located?,"['virtual card', 'located card']",virtual card
379,where can i order a virtual card?,"['order card', 'virtual card', 'order card']",virtual card
380,where do i obtain my virtual card?,"['obtain card', 'virtual card', 'obtain card']",Unknown
381,i want a virtual card!,"['want card', 'virtual card', 'want card']",Unknown
382,i want one of those virtual cards!,"['want ', 'virtual cards', 'want cards']",virtual cards
383,are virtual cards available to get?,"['virtual cards', 'get cards']",virtual cards
384,can you help me sign up for a virtual card?,"['virtual card', 'sign card']",virtual card
385,can i get a copy of the card by email?,"['get copy', 'get email']",get email
386,where do i find the virtual card?,"['find card', 'virtual card', 'find card']",virtual card
387,why do i not have a virtual card,"['have card', 'virtual card', 'have card']",virtual card
388,how do i order a virtual card?,"['order card', 'virtual card', 'order card']",Unknown
389,i thought i was going to get a virtual card but i haven't received it yet how can we resolve this?,"['resolve card', 'virtual card', 'resolve card']",virtual card
390,please help me get a virtual card,"['get card', 'virtual card', 'get card']",Unknown
391,can i order a virtual card?,"['order card', 'virtual card', 'order card']",Unknown
392,where can i go to get a virtual card?,"['get card', 'virtual card', 'get card']",Unknown
393,where are the virtual cards located?,"['virtual cards', 'located cards']",virtual cards
394,i would like a virtual card- where can i purchase one?,"['purchase one', 'virtual card', 'purchase one']",Unknown
395,when should i receive my virtual card?,"['receive card', 'virtual card', 'receive card']",Unknown
396,i need to reorder my virtual card!,"['reorder card', 'virtual card', 'reorder card']",virtual card
397,where can i get a virtual card?,"['get card', 'virtual card', 'get card']",virtual card
398,is there a way to obtain a virtual card?,"['obtain card', 'virtual card', 'obtain card']",Unknown
399,can i have one of the virtual cards?,"['have ', 'virtual cards', 'have cards']",virtual cards
400,will my card be accepted all over the world?,['accepted world'],Unknown
401,who accepts this card?,"['accepts card', 'accepts card']",accepts card
402,can i use my card for payment all over the world?,"['use card', 'use world']",use card
403,it will be fine to use at any establishment that accepts mastercard,"['accepts mastercard', 'accepts mastercard']",accepts mastercard
404,where can the card be used?,['used card'],Unknown
405,can my card be used everywhere?,['used card'],used card
406,are there any limits on where i can use my card?,"['use card', 'use card']",use card
407,what stores can i sue my card?,"['sue card', 'sue card']",Unknown
